SCOUT, TEAM, COMP, MATCH, CROSSLINE, AUTO SWITCH,AUTO SWITCH ATTEMPTS ,AUTO SCALE, AUTO SCALE ATTEMPTS, AUTO INTAKE, TELEOP SWITCH, TELEOP SCALE, TELEOP OTHER SWITCH, TELOP EXCHANGE, FIELD CONFIG, START POS, FOULS, DROPPED/FUMBLED CUBES, TELEOP INTAKE, CLIMB STATUS
Alex,2636,UTAH,Q10,NO ATTEMPT,2,4,2,4,4,3,5,1,6,SSS,3,0,3,0,PLATFORM / NO CLIMB
Owen,3000,HOUSTON,Q15,SUCCESS,4,8,1,8,1,1,0,4,1,SSS,3,1,4,1,SUCCESSSSFUL CLIMB
Elaina,2346,COLORADO,F4,NO ATTEMPT,1,4,3,3,0,0,4,1,2,OOO,0,2,3,2,NO ATTEMPT
Julia,2304,COLORADO,Q5,NO ATTEMPT,4,5,2,4,2,1,5,4,2,SSS,0,0,2,2,LEVITATED
Elaina,2434,COLORADO,Q2,NO ATTEMPT,2,4,4,3,5,3,1,4,2,OSO,1,0,5,1,ASSISTED FROM OFF PLATFORM
Taya,2187,HOUSTON,S10,FAIL,3,4,0,4,1,0,4,2,0,SSS,1,0,5,3,ASSISTED FROM PLATFORM
Ella,595,UTAH,S14,SUCCESS,1,2,0,3,3,1,2,5,4,SOS,3,0,0,3,FAILED CLIMB
Owen,158,HOUSTON,S22,NO ATTEMPT,3,6,2,4,4,5,2,0,0,SOS,2,0,3,1,FAILED ASSISTED CLIMB
Dani,646,HOUSTON,Q9,NO ATTEMPT,3,7,1,6,5,5,5,4,3,OSO,2,0,1,3,PLATFORM / NO CLIMB
Elaina,2880,COLORADO,Q29,SUCCESS,1,4,1,2,0,5,2,2,8,SOS,0,0,5,3,SUCCESSSSFUL CLIMB
Dani,2653,HOUSTON,S7,SUCCESS,1,1,0,3,1,3,0,5,3,SOS,3,0,4,5,NO ATTEMPT
Elaina,2864,COLORADO,Q20,FAIL,1,5,0,3,2,5,1,1,4,OSO,0,0,5,2,LEVITATED
Owen,433,HOUSTON,S4,FAIL,2,4,3,4,0,1,5,3,4,SSS,0,0,2,0,ASSISTED FROM OFF PLATFORM
Ella,1003,UTAH,QF1,NO ATTEMPT,0,0,2,4,3,5,3,5,2,SSS,1,0,3,2,ASSISTED FROM PLATFORM
Jazmine,2343,UTAH,Q31,FAIL,4,4,1,5,2,4,4,4,5,OOO,2,0,2,2,FAILED CLIMB
Jazmine,816,UTAH,Q4,FAIL,2,6,0,3,4,2,1,1,6,OOO,0,0,4,1,FAILED ASSISTED CLIMB
Ella,2445,UTAH,Q25,SUCCESS,3,5,2,7,1,2,0,2,5,OSO,2,0,5,1,PLATFORM / NO CLIMB
Owen,818,HOUSTON,QF9,NO ATTEMPT,1,3,2,5,1,0,1,1,6,SOS,2,0,3,3,SUCCESSSSFUL CLIMB
Dani,311,HOUSTON,S16,NO ATTEMPT,1,2,1,4,0,0,1,4,1,SOS,2,0,0,0,NO ATTEMPT
Julia,2719,COLORADO,Q14,NO ATTEMPT,1,5,4,1,2,1,4,5,7,OSO,3,0,2,2,LEVITATED
Jazmine,2295,UTAH,QF7,SUCCESS,0,3,0,4,1,4,1,1,2,SOS,2,0,3,1,ASSISTED FROM OFF PLATFORM
Jazmine,2397,UTAH,Q22,SUCCESS,1,3,1,2,2,2,0,1,4,OSO,1,0,5,3,ASSISTED FROM PLATFORM
Julia,2302,COLORADO,S3,FAIL,4,4,0,6,4,4,1,0,5,SOS,0,0,5,4,FAILED CLIMB
Dani,59,HOUSTON,Q36,NO ATTEMPT,4,7,1,4,5,2,5,1,5,OSO,0,0,3,1,FAILED ASSISTED CLIMB
Elaina,555,COLORADO,S9,NO ATTEMPT,2,5,2,5,4,0,0,1,7,SOS,1,2,5,3,PLATFORM / NO CLIMB
Taya,1505,HOUSTON,Q12,FAIL,3,7,1,5,5,1,4,3,2,SSS,0,0,5,0,SUCCESSSSFUL CLIMB
Julia,1426,COLORADO,Q23,NO ATTEMPT,1,3,2,3,1,4,0,5,6,OSO,2,0,3,4,NO ATTEMPT
Jazmine,2424,UTAH,S20,FAIL,4,8,3,7,5,0,0,2,7,SSS,3,0,5,3,LEVITATED
Gabby,98,COLORADO,S6,FAIL,1,3,3,3,2,0,2,4,2,SSS,3,0,2,0,ASSISTED FROM OFF PLATFORM
Julia,2859,COLORADO,S12,SUCCESS,2,3,0,5,5,1,4,1,2,SSS,2,0,1,2,ASSISTED FROM PLATFORM
Julia,1382,COLORADO,QF8,FAIL,3,7,3,4,5,0,1,2,6,OOO,1,0,1,1,FAILED CLIMB
Alex,2876,UTAH,F3,NO ATTEMPT,4,6,0,6,5,2,4,1,3,OOO,2,0,2,2,FAILED ASSISTED CLIMB
Ella,2179,UTAH,Q7,SUCCESS,0,3,1,1,0,5,3,2,0,SSS,2,0,4,2,PLATFORM / NO CLIMB
Alex,1857,UTAH,Q37,SUCCESS,4,7,3,6,3,2,3,0,4,SOS,2,0,3,0,SUCCESSSSFUL CLIMB
Gabby,441,COLORADO,Q8,SUCCESS,2,5,2,5,5,2,4,1,8,OOO,1,0,2,3,NO ATTEMPT
Jazmine,191,UTAH,S2,SUCCESS,4,8,3,8,2,0,0,5,6,SOS,2,0,4,3,LEVITATED
Ella,2810,UTAH,Q34,FAIL,0,1,1,2,3,3,0,1,2,OSO,2,0,4,4,ASSISTED FROM OFF PLATFORM
Alex,2911,UTAH,Q1,NO ATTEMPT,0,3,2,0,4,1,4,0,7,SOS,2,0,5,1,ASSISTED FROM PLATFORM
Dani,2808,HOUSTON,Q18,SUCCESS,3,5,0,5,1,1,0,2,8,SSS,0,2,4,5,FAILED CLIMB
Gabby,2817,COLORADO,F1,NO ATTEMPT,1,5,2,2,5,1,4,1,2,OOO,1,0,0,0,FAILED ASSISTED CLIMB
Taya,2207,HOUSTON,Q30,NO ATTEMPT,4,7,2,7,2,2,4,2,0,SSS,0,0,1,5,PLATFORM / NO CLIMB
Taya,1220,HOUSTON,S19,FAIL,0,2,4,2,2,5,5,0,5,OSO,2,1,3,0,SUCCESSSSFUL CLIMB
Gabby,2518,COLORADO,S15,SUCCESS,3,6,2,7,1,4,4,0,5,SSS,2,0,3,5,NO ATTEMPT
Dani,1095,HOUSTON,QF3,SUCCESS,4,6,3,6,2,3,3,4,0,SSS,3,0,5,0,LEVITATED
Elaina,2706,COLORADO,Q11,FAIL,2,4,2,2,4,4,0,1,0,SSS,3,0,2,1,ASSISTED FROM OFF PLATFORM
Alex,1939,UTAH,Q19,FAIL,2,2,0,5,2,1,1,1,5,SOS,3,0,0,2,ASSISTED FROM PLATFORM
Ella,1780,UTAH,Q16,SUCCESS,4,6,1,4,5,3,1,4,4,OSO,1,0,0,1,FAILED CLIMB
Dani,1831,HOUSTON,F2,NO ATTEMPT,2,5,4,4,0,0,3,0,6,SSS,3,0,2,5,FAILED ASSISTED CLIMB
Alex,434,UTAH,QF4,NO ATTEMPT,3,3,3,3,0,4,2,0,2,SSS,2,0,2,1,PLATFORM / NO CLIMB
Elaina,365,COLORADO,QF5,SUCCESS,3,6,0,5,5,1,2,3,7,OSO,2,1,0,2,SUCCESSSSFUL CLIMB
Taya,2926,HOUSTON,QF6,SUCCESS,1,5,2,4,1,3,5,1,3,OOO,2,0,3,3,NO ATTEMPT
Alex,2478,UTAH,S8,NO ATTEMPT,3,5,2,6,4,0,5,4,8,SOS,2,0,0,3,LEVITATED
Julia,1926,COLORADO,S21,SUCCESS,0,2,1,1,3,5,0,5,5,SSS,3,0,0,4,ASSISTED FROM OFF PLATFORM
Dani,596,HOUSTON,Q27,FAIL,0,2,0,1,1,0,5,2,0,OOO,3,0,5,1,ASSISTED FROM PLATFORM
Gabby,1775,COLORADO,QF2,NO ATTEMPT,0,2,4,1,2,1,0,4,1,SSS,0,0,0,5,FAILED CLIMB
Julia,273,COLORADO,Q32,FAIL,1,2,1,2,5,2,3,5,0,SSS,2,1,3,5,FAILED ASSISTED CLIMB
Gabby,1869,COLORADO,Q17,FAIL,2,5,1,2,3,5,4,4,7,SSS,0,0,4,3,PLATFORM / NO CLIMB
Owen,1224,HOUSTON,Q24,NO ATTEMPT,0,0,3,2,3,1,3,5,8,OOO,3,0,4,4,SUCCESSSSFUL CLIMB
Owen,523,HOUSTON,Q6,FAIL,0,0,1,2,0,2,3,0,6,SSS,0,1,0,0,NO ATTEMPT
Owen,2970,HOUSTON,Q33,NO ATTEMPT,3,3,4,3,1,3,3,1,8,SSS,1,0,3,2,LEVITATED
